Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-February-2023,1466.25,1470.55,1450.20,1469.15,1462.606890611541774332,5805,1013,8490433.00,3105,53.49,20.35,2.90
6-February-2023,1450.05,1465.00,1446.10,1454.45,1452.149656750572082379,4370,648,6345894.00,2083,47.67,18.90,4.40
3-February-2023,1461.20,1467.50,1449.75,1460.75,1454.671684247955434396,8437,1421,12273065.00,2931,34.74,17.75,-0.45
2-February-2023,1440.05,1475.10,1440.05,1462.15,1460.144990808823529411,8704,1312,12709102.00,3821,43.90,35.05,22.10
1-February-2023,1466.25,1470.00,1437.00,1454.05,1456.570937349563303761,14541,2442,21179998.00,8464,58.21,33.00,-12.20
31-January-2023,1450.05,1457.00,1437.00,1453.55,1443.558731808731808731,21164,1325,30551477.00,15493,73.20,20.00,3.50
30-January-2023,1451.00,1457.10,1434.60,1449.85,1446.989187797657356159,7769,1617,11241659.00,3426,44.10,22.50,-1.15
27-January-2023,1451.35,1470.35,1438.20,1448.75,1452.439243423666852102,12583,1952,18276043.00,4105,32.62,32.15,-2.60
25-January-2023,1457.95,1468.70,1448.00,1451.30,1457.124448756394425824,11338,1468,16520877.00,3720,32.81,20.70,-6.65
24-January-2023,1494.00,1496.00,1456.00,1459.45,1476.888148338032982995,11703,1645,17284022.00,4202,35.91,40.00,-34.55
23-January-2023,1496.15,1500.50,1480.00,1490.15,1490.151865302079894354,9087,1443,13541010.00,3867,42.56,20.50,-6.00
20-January-2023,1490.05,1508.05,1490.05,1500.45,1501.877671903167653875,3883,509,5831791.00,1433,36.90,18.00,10.40
19-January-2023,1492.05,1512.90,1489.65,1499.95,1503.779405609041439933,7167,1086,10777587.00,2114,29.50,23.25,7.90
18-January-2023,1497.05,1506.90,1492.25,1504.00,1501.140841457157516675,3898,569,5851447.00,1536,39.40,14.65,6.95
17-January-2023,1497.00,1507.35,1485.50,1499.20,1497.419065115329659114,4899,732,7335856.00,1714,34.99,21.85,2.20
16-January-2023,1483.05,1499.85,1481.45,1495.95,1490.964197093229351293,14105,2826,21030050.00,9397,66.62,18.40,12.90
13-January-2023,1490.05,1494.00,1478.00,1484.45,1485.222036942021549512,7796,1793,11578791.00,3711,47.60,16.00,-5.60
12-January-2023,1492.00,1492.00,1479.50,1487.70,1485.912142403051493960,7865,1535,11686699.00,2940,37.38,12.50,-4.30
11-January-2023,1500.20,1502.45,1484.00,1489.80,1489.853534796514834013,9067,1813,13508502.00,4783,52.75,18.45,-10.40
10-January-2023,1535.05,1536.15,1497.40,1500.15,1512.735492845786963434,10064,1886,15224170.00,6178,61.39,38.75,-34.90
9-January-2023,1521.00,1538.30,1520.00,1534.90,1527.630595344673231871,8936,1032,13650907.00,6828,76.41,18.30,13.90
6-January-2023,1526.75,1534.15,1513.50,1516.15,1523.910425354462051709,5995,1105,9135843.00,2466,41.13,20.65,-10.60
5-January-2023,1514.05,1537.60,1514.00,1526.50,1529.270352035203520352,7272,781,11120854.00,1773,24.38,23.60,12.45
4-January-2023,1517.25,1527.25,1509.75,1511.30,1515.490261282660332541,14735,1088,22330749.00,9924,67.35,17.50,-5.95
3-January-2023,1526.65,1527.25,1510.65,1517.25,1517.321090452834492985,8767,1241,13302354.00,2852,32.53,16.60,-9.40
2-January-2023,1537.00,1543.45,1513.15,1520.65,1521.787918367346938775,12250,1578,18641902.00,5530,45.14,30.30,-16.35
30-December-2022,1541.35,1555.90,1532.65,1536.10,1541.996819717749950308,10062,1460,15515572.00,4562,45.34,23.25,-5.25
29-December-2022,1567.00,1567.00,1540.60,1547.10,1550.061462324393358876,18792,1884,29128755.00,14866,79.11,26.40,-19.90
28-December-2022,1562.35,1575.00,1557.35,1562.80,1564.864998297582567245,5874,946,9192017.00,2537,43.19,17.65,0.45
27-December-2022,1580.45,1587.65,1565.10,1569.55,1571.071170035381674732,24589,2093,38631069.00,19820,80.61,22.55,-10.90
26-December-2022,1569.00,1572.80,1557.25,1566.65,1567.041582604797130688,8922,1286,13981145.00,3079,34.51,15.55,-2.35
