Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-January-2023,119.30,120.35,118.00,118.80,119.135344958213374051,1715860,11662,204419573.00,367699,21.43,2.35,-0.50
10-January-2023,117.55,119.75,117.55,118.85,118.570072560649674955,2370293,16043,281045813.00,871157,36.75,2.20,1.30
9-January-2023,116.80,118.15,116.60,117.50,117.522547277371193447,1569990,11631,184509224.00,423630,26.98,1.55,0.70
6-January-2023,116.80,117.80,115.25,115.60,116.617506130040546138,3823792,25278,445921087.00,1009999,26.41,2.55,-1.20
5-January-2023,116.40,117.00,114.50,116.60,115.769041104825199791,2330432,13888,269791878.00,460093,19.74,2.50,0.20
4-January-2023,118.55,119.10,115.35,115.70,116.594668155346990321,2459449,14417,286758640.00,716610,29.14,3.75,-2.85
3-January-2023,119.75,120.50,117.75,118.45,119.029921682484690267,3278960,18673,390294352.00,773342,23.58,2.75,-1.30
2-January-2023,114.20,119.60,113.75,119.25,117.697056199485864568,12754227,69759,1501134972.00,7582562,59.45,5.85,5.05
30-December-2022,112.55,114.70,112.10,112.65,113.507547769763253918,4484636,27546,509040035.00,2350041,52.40,2.60,0.10
29-December-2022,108.80,112.00,108.80,111.75,110.750012631292972279,2414638,12339,267421189.00,590382,24.45,3.20,2.95
28-December-2022,111.15,112.25,109.70,109.95,110.961198628532048731,3691519,22970,409615373.00,1481218,40.12,2.55,-1.20
27-December-2022,106.60,111.50,105.80,111.15,109.252591288588513472,5297075,34045,578719170.00,2300726,43.43,5.70,4.55
26-December-2022,102.00,105.60,101.60,105.00,104.321327743463217508,1652036,12210,172342589.00,540045,32.69,4.00,3.00
